prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
181,RELLENAR,B,1,2075,PREGABALINA 75 MG PFIZER 14 CAPSULAS,75mg,14,capsula,Medicamentos éticos,Medicamentos,159.0,2,4,FC-49025967,Pregabalina 75 mg C/14 AMSA,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
182,RELLENAR,B,1,171,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,400000mg,1,polvo,Laxante,Funcionamiento gastrointestinal,154.0,2,4,FC-75713770,Novagon polvo sabor natural 400 g,Novag,1,100,principios activos completos; concentracion coincide; forma coincide
183,RELLENAR,B,1,1971,PSYLLIUM PLANTAGO POLVO SABOR NARANJA PIÑA 400 GR 1 PIEZA,400000mg,1,polvo,Laxante,Funcionamiento gastrointestinal,154.0,2,4,FC-75713770,Novagon polvo sabor natural 400 g,Novag,1,100,principios activos completos; concentracion coincide; forma coincide
184,RELLENAR,B,1,3850,CALCIO / VITAMINA D3 / MAGNESIO / CALTRATE 600+M 30 TABLETAS,,30,tableta,Huesos y articulaciones,Analgesia,153.0,2,4,EQ-RAD096,Calcio Efe 12 Comp 500 Mg,Raam,1,91,principios activos completos; forma coincide
185,RELLENAR,B,1,2447,BISOPROLOL  2.5MG 30 TABLETAS,2.5mg,30,tableta,Antihipertensivo,Medicamentos,152.0,2,4,FC-C101D5B1,Bisoprolol,iQuifa,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/53)
186,RELLENAR,B,1,2889,ETORICOXIB 120 MG 7 COMPRIMIDOS,120mg,7,tableta,Antiinflamatorio,Medicamentos,149.0,2,4,EQ-MAV311,Exicort 7 Comp 120 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
187,RELLENAR,B,1,4011,MINOXIDIL 2GR/100ML SOLUCION 60ML,100ml 2000mg 60ml,,solucion,Dermatológico,Cuidado de la piel y belleza,149.0,2,4,EQ-QUI139,Agecaps minoxidil hombre 5% solución 60 mL,Agecaps,1,100,principios activos completos; concentracion coincide; forma coincide
188,RELLENAR,B,1,2948,PREDNISONA 20 MG 30 TABLETAS,20mg,30,tableta,Antiinflamatorio,Medicamentos,149.0,2,4,EQ-COL133,Nosipren 30 Tab 20 Mg,Collins,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
189,RELLENAR,B,1,3760,ZINC 50 MG 30 CAPSULAS,50mg,30,capsula,Sistema inmune,Aparato respiratorio,149.0,2,4,FMX-302906,Vizano Capsulas C/30,CMD,1,80,principios activos completos; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
190,RELLENAR,B,1,2253,BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS,0.125mg 0.25mg 2ml,5,suspension,Aparato respiratorio,Medicamentos,147.0,2,4,EQ-NOV165,Budenova Susp .125 Mg/Ml 5 Amp 2ml,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
191,RELLENAR,B,1,3754,OMEPRAZOL 20 MG 120 CAPSULAS,20mg,120,capsula,Funcionamiento gastrointestinal,Medicamentos,147.0,2,4,FC-82200016,Omeprazol Aktyzar,Aktyzar,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
192,RELLENAR,B,1,2691,LEFLUNOMIDA 20 MG 30 COMPRIMIDOS,20mg,30,tableta,Medicamentos éticos,Medicamentos,144.0,2,4,EQ-MAV358,Avattor 30 Comp 20 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
193,RELLENAR,B,1,2408,CLOTRIMAZOL V 1 OVULO 500 MG,500mg,1,ovulo,Antimicótico,Medicamentos,139.0,2,4,EQ-SON220,Clotrimazol 1 Ov 500 Mg,Son's,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (93/90)
194,RELLENAR,B,1,1903,VENLAFAXINA 75 MG 20 CAPSULAS LIBERACION PROLONGADA,75mg,20,capsula,Enfermedades mentales,Medicamentos,134.0,2,4,EQ-MAV239,Linexel Venlafaxina,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide
195,RELLENAR,B,1,2155,ROSUVASTATINA 20 MG 15 TABLETAS,20mg,15,tableta,Hipolipemiante,Medicamentos,132.0,2,4,EQ-MAI163,Crostox 30 Tab 20 Mg,Mavi,1,76,principios activos completos; concentracion coincide; cantidad difiere 30≠15; forma coincide
196,RELLENAR,B,2,2298,AGUA DE MAR ISOTONICA (EQUIVALENTE 0.9% CLORURO DE SODIO) 100 MLL 1 PIEZA,,1,,Aparato respiratorio,Aparato respiratorio,129.0,2,4,FC-25100116,Solucion CS PiSA cloruro de sodio 0.9% 250 mL,PiSA,0,85,principios activos completos
197,RELLENAR,B,1,497,CEFACLOR 250 MG SUSPENSION 75 ML 1 PIEZA,250mg 75ml,1,suspension,Antibiótico,Medicamentos,129.0,2,4,FC-01B2F362,Fasiclor 250 mg/ 5 mL,Fasiclor,1,100,principios activos completos; concentracion coincide; forma coincide
198,RELLENAR,B,1,3949,DROPROPIZINA/BROMHEXINA 150 MG/80 MG 200ML JARABE INFANTIL,150mg 200ml 80mg,,jarabe,Aparato respiratorio,Medicamentos,129.0,2,4,FC-AA7B0686,Drosequim Adulto jarabe 300/160 mg 200 ml,Quimpharma,1,100,principios activos completos; concentracion coincide; forma coincide
199,RELLENAR,B,1,3384,ESOMEPRAZOL 40 MG 14 CAPSULAS LIBERACION RETARDADA,40mg,14,capsula,Funcionamiento gastrointestinal,Medicamentos,129.0,2,4,EQ-MAV380,Esomeprazol 14 Tab 40 Mg,Maver,1,76,principios activos completos; concentracion coincide; cantidad coincide; forma difiere tableta≠capsula; nombre parecido (91/49)
200,RELLENAR,B,1,3198,METFORMINA 500 MG 60 TABLETAS LIBERACION PROLONGADA,500mg,60,tableta,Diabetes,Medicamentos,129.0,2,4,EQ-NOV157,Glunovag 60 Tab 500 Mg,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
201,RELLENAR,B,1,4519,NAFAZOLINA 1 MG/1 ML SOLUCION NASAL 15 ML GOTINAL,15ml 1mg 1ml,,solucion,Aparato respiratorio,Aparato respiratorio,129.0,2,4,FC-85132069,Nazil Ofteno Solucion Oftalmica 15 ml,Nazil,1,100,principios activos completos; concentracion coincide; forma coincide
202,RELLENAR,B,1,2706,DEXKETOPROFENO 25 MG 10 TABLETAS,25mg,10,tableta,Analgésicos,Medicamentos,127.0,2,4,EQ-ALP0633,Dexketoprofeno 10 Tab 25 Mg,Alpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (92/71)
203,RELLENAR,B,1,543,CLARITROMICINA 125 MG SUSPENSION 60 ML 1 PIEZA,125mg 60ml,1,suspension,Antibiótico,Medicamentos,124.0,2,4,FC-8FB65B79,Klarix,Klarix,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
204,RELLENAR,B,1,1950,VALSARTAN 80 MG 30 COMPRIMIDOS,80mg,30,tableta,Antihipertensivo,Medicamentos,124.0,2,4,EQ-MAV208,Versalver 30 Comp 80 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
205,RELLENAR,B,2,388,BECLOMETASONA 50 MCG AEROSOL PARA INHALACION 200 DOSIS 1 PIEZA,50mcg,1,spray,Aparato respiratorio,Aparato respiratorio,99.0,3,6,EQ-HIS087,Clofhiven 200 Dosis 50 Mcg/12.80g,Hispanoamericana,1,100,principios activos completos; concentracion coincide; forma coincide
206,RELLENAR,B,1,1918,CLINDAMICINA / KETOCONAZOL 2/8 GR CREMA 30 GR 1 PIEZA,30000mg 8000mg,1,crema,Antimicótico,Medicamentos,99.0,3,6,EQ-MAI152,"Mavifem Clindamicina, Ketoconazol",MAVI,2,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (86/56)
207,RELLENAR,B,2,1864,MONTELUKAST 5 MG 20 TABLETAS MASTICABLES,5mg,20,tableta,Aparato respiratorio,Medicamentos,99.0,3,6,FMX-301546,Montelukast-Neolpharma Tabletas 5 Mg C/20,MONTELUKAST,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
208,RELLENAR,B,1,638,LINCOMICINA 500 MG 18 CAPSULAS,500mg,18,capsula,Antibiótico,Medicamentos,94.0,3,6,EQ-MAV102,Lincover lincomicina 16 cáps 500 mg,Maver,2,76,principios activos completos; concentracion coincide; cantidad difiere 16≠18; forma coincide; nombre parecido (80/55)
209,RELLENAR,B,2,526,OFLOXACINO 400 MG 8 TABLETAS,400mg,8,tableta,Antibiótico,Medicamentos,93.0,3,6,EQ-MAI141,Flosef 8 Tab 400 Mg,MAVI,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
210,RELLENAR,B,1,1970,MONTELUKAST GRANULADO 10 SOBRES 4 MG,4mg,10,polvo,Aparato respiratorio,Medicamentos,89.0,3,6,FC-09744440,Valtrover G montelukast granulado 4 mg C/10,Valtrover G,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (84/66)
211,RELLENAR,B,1,425,CLARITROMICINA 250 MG 10 TABLETAS,250mg,10,tableta,Antibiótico,Medicamentos,88.0,3,6,FC-09740442,Klarix Claritromicina 250 mg 10 tabletas,Klarix,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/90)
212,RELLENAR,B,2,3366,CARBOCISTEINA 375MG/5ML SOLUCION 150 ML 1 PIEZA,150ml 375mg 5ml,1,solucion,Aparato respiratorio,Aparato respiratorio,86.0,3,6,FC-09747786,Culminax Pediátrico (Carbocisteína) 250 mg/5 mL,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
213,RELLENAR,B,1,56,CEFALEXINA 500 MG 20 CAPSULAS,500mg,20,capsula,Antibiótico,Medicamentos,84.0,3,6,FC-2005DD57,Cefalexina,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/51)
214,RELLENAR,B,2,96,ERITROMICINA 250 MG SUSPENSION 100 ML 1 PIEZA,100ml 250mg,1,suspension,Antibiótico,Medicamentos,84.0,3,6,FC-6898B64F,Bioerter Eritromicina Suspensión,Neolpharma,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (84/60)
215,RELLENAR,B,2,155,NITROFURANTOINA 100 MG 40 CAPSULAS,100mg,40,capsula,Antibiótico,Medicamentos,79.0,3,6,EQ-HIS075,Terfhicid 40 Caps 100 Mg,Farnmaceutica Hispanoamerica,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
216,RELLENAR,B,2,527,NORFLOXACINO 400 MG 20 TABLETAS,400mg,20,tableta,Antibiótico,Medicamentos,79.0,3,6,FC-27879559,JULAB norfloxacino/fenazopiridina 400/100 mg C/8,RAAM,1,70,solo 1/2 principios activos; concentracion coincide; cantidad difiere 8≠20; forma coincide; equivalente PA+concentración+forma
217,RELLENAR,B,2,55,CEFALEXINA 250MG/5ML SUSPENSION 100 ML 1 PIEZA,100ml 250mg 5ml,1,suspension,Antibiótico,Medicamentos,74.0,3,6,FC-A455EE80,Cefagen,Cefagen,1,100,principios activos completos; concentracion coincide; forma coincide
218,RELLENAR,B,1,1194,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,120ml,1,solucion,Aparato respiratorio,Medicamentos,66.0,3,6,FC-03388008,Velatuss levodropropizina jarabe 120 mL,Velatuss,2,70,principios activos completos; concentracion coincide; forma difiere jarabe≠solucion
219,RELLENAR,B,1,97,ERITROMICINA 500 MG 20 TABLETAS,500mg,20,tableta,Antibiótico,Medicamentos,62.0,3,6,FC-86A95D07,Tropharma Eitromicina 500 mg,Tropharma,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
220,RELLENAR,B,2,219,CEFOTAXIMA 500 MG SOLUCION INYECTABLE 1 PIEZA,500mg,1,solucion,Antibiótico,Medicamentos,59.0,3,6,EQ-AMS349,Cefotaxima IM 500 mg/2 ml,AMSA,1,95,principios activos completos; concentracion coincide
221,RELLENAR,B,2,478,NISTATINA 100000UI POLVO PARA SUSPENSION 24 ML 1 PIEZA,100000ui 24ml,1,polvo,Antimicótico,Medicamentos,57.0,3,6,EQ-ALP0410,Nistatina 1 Susp 1 Ui /24 Ml,Alpharma,1,70,principios activos completos; concentracion coincide; cantidad difiere 24≠1; forma difiere suspension≠polvo; equivalente PA+concentración+forma
222,RELLENAR,B,1,1417,BIFONAZOL UNGÜENTO 20 GR 1 PIEZA,20000mg,1,unguento,Antimicótico,Medicamentos,49.0,3,6,FC-F817BC3A,Sibicos,Sibicos,2,70,principios activos completos; concentracion coincide; forma difiere crema≠unguento
223,RELLENAR,B,2,358,CEFTRIAXONA 500 MG SOLUCION INYECTABLE 1 PIEZA,500mg,1,solucion,Antibiótico,Medicamentos,49.0,3,6,FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),Ceftriaxona,1,82,"principios activos completos; concentracion difiere ['1000mg', '3.5ml']≠['500mg']; cantidad coincide; forma difiere inyectable≠solucion; nombre muy parecido (91/67)"
224,RELLENAR,B,2,529,CLINDAMICINA GEL 1GR 1% 1 PIEZA,1000mg,1,gel,Antibiótico,Medicamentos,45.0,3,6,EQ-MAI055,Dalatina 1 Gel 1g/30 G,MAVI,1,100,principios activos completos; concentracion coincide; forma coincide
225,RELLENAR,B,1,2303,DROPROPIZINA 300MG JARABE 120 ML 1 PIEZA,120ml 300mg,1,jarabe,Aparato respiratorio,Aparato respiratorio,45.0,3,6,FC-09745560,Bioxover Dropropizina,Maver,2,100,principios activos completos; concentracion coincide; forma coincide
226,RELLENAR,B,1,159,OXOLAMINA 1GR/100ML JARABE 1 PIEZA,1000mg 100ml,1,jarabe,Aparato respiratorio,Medicamentos,44.0,3,6,FMX-502386,Guaxoquim Jarabe C/140 Ml,QUIMPHARMA,2,70,solo 1/2 principios activos; concentracion coincide; cantidad difiere 140≠1; forma coincide; equivalente PA+concentración+forma
227,RELLENAR,B,2,2650,TEOFILINA 100 MG 20 TABLETAS LIBERACION PROLONGADA,100mg,20,tableta,Aparato respiratorio,Medicamentos,44.0,3,6,FC-26291475,Pharmafil LP (Teofilina) 100 mg liberación prolongada,Alpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (86/75)
228,RELLENAR,B,2,751,DICLOXACILINA SUSPENSION 60 ML 1 PIEZA,60ml,1,suspension,Antibiótico,Medicamentos,38.0,3,6,FC-9F67BB73,Amifarin,Amifarin,1,100,principios activos completos; concentracion coincide; forma coincide
229,RELLENAR,B,2,436,BROMHEXINA 80MG/100ML SOLUCION INFANTIL 1 PIEZA,100ml 80mg,1,solucion,Aparato respiratorio,Medicamentos,34.0,3,6,FC-73903260,Bromhexina Adulto solución 160 mg/100 mL,Biomep,1,100,principios activos completos; concentracion coincide; forma coincide
230,RELLENAR,B,2,92,DOXICICLINA 100 MG 10 CAPSULAS,100mg,10,capsula,Antibiótico,Medicamentos,34.0,3,6,FC-93888302,Kenciclen Doxiciclina 100 mg 10 cápsulas,Kenciclen,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/86)
231,RELLENAR,B,1,621,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,15000mg,1,crema,Antimicótico,Medicamentos,34.0,3,6,FC-73902966,Nafich (Terbinafina) crema 1%,Biomep,2,100,principios activos completos; concentracion coincide; forma coincide
232,RELLENAR,B,2,100,FENAZOPIRIDINA 100 MG 20 TABLETAS,100mg,20,tableta,Antibiótico,Medicamentos,27.0,3,6,EQ-MAI078,Urezol 20 Tab 100 Mg,MAVI,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
233,RELLENAR,B,1,125,KETOCONAZOL 200 MG 10 TABLETAS,200mg,10,tableta,Antimicótico,Medicamentos,27.0,3,6,EQ-NOV032,Lizovag Ketoconazol,Novag,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
234,RELLENAR,B,1,323,DEXTROMETORFANO 300 MG JARABE 120 ML 1 PIEZA,120ml 300mg,1,jarabe,Aparato respiratorio,Medicamentos,23.0,3,6,EQ-RAD092,Dextrometorfano 1 Jbe 300 Mg/120 Ml,Randall,2,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (81/71)
235,RELLENAR,B,2,145,MICONAZOL 2 GR CREMA 20 GR 1 PIEZA,20000mg 2000mg,1,crema,Antimicótico,Medicamentos,14.0,3,6,FC-04908714,Miconazol crema 2%,Alpharma,1,100,principios activos completos; concentracion coincide; forma coincide; nombre muy parecido (91/65)
236,RELLENAR,C,1,3704,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,,,,Lactobacilos,Funcionamiento gastrointestinal,159.0,2,3,FC-08344488,Lactopram 430 mg C/20,Lactopram,1,85,principios activos completos
237,RELLENAR,C,1,3656,GOMITAS CON COLAGENO HIDROLIZADO ACIDO HIALURONICO GELASIMI FORTE ETERNAL SECRET 60 GOMITAS,,,,Belleza,Suplementos y multivitamínicos,149.0,2,3,FC-9741524,Naturex colágeno hidrolizado tabletas C/60,Naturex,1,85,principios activos completos
238,RELLENAR,C,1,4074,GOMITAS VITAMINA C/ZINC/VITAMINA D 60 PIEZAS MULTIGOMI,,60,,Sistema inmune,Aparato respiratorio,149.0,2,3,FC-82790016,Talco Nuvel Pura para bebé,Nuvel,1,85,principios activos completos
239,RELLENAR,C,1,3314,ACIDO FUSIDICO / BETAMETASONA 20/1MG CREMA 15 GR 1 PIEZA,15000mg 1mg,1,crema,Dermatológico,Medicamentos,119.0,2,4,FC-697EEAD0,Kurtosil,Kurtosil,1,100,principios activos completos; concentracion coincide; forma coincide
240,RELLENAR,C,1,2666,PRAVASTATINA 10 MG 30 TABLETAS,10mg,30,tableta,Hipolipemiante,Medicamentos,119.0,2,4,EQ-BIO017,Colpragin 30 Tab 10 Mg,Biomep,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
241,RELLENAR,C,1,2967,PREGABALINA 150 MG 28 CAPSULAS,150mg,28,capsula,Medicamentos éticos,Medicamentos,119.0,2,4,EQ-AMS234,Pregabalina 28 Cáps 150 mg AMSA,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (85/72)
242,RELLENAR,C,1,1448,DEFLAZACORT 6 MG 20 TABLETAS,6mg,20,tableta,Antiinflamatorio,Medicamentos,114.0,2,4,EQ-MAV318,Cariden 20 Tab 6 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
243,RELLENAR,C,1,3280,IVERMECTINA 6 MG 4 TABLETAS,6mg,4,tableta,Antiparasitario,Medicamentos,101.0,2,4,FC-09747366,Veridex ivermectina 6 mg C/4,Veridex,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
244,RELLENAR,C,1,4053,CALCIO/VITAMINA D3 20 TABLETAS EFERVESCENTES TUBO LIMON,,20,tableta,Huesos y articulaciones,Analgesia,99.01,2,4,EQ-RAD096,Calcio Efe 12 Comp 500 Mg,Raam,1,91,principios activos completos; forma coincide
245,RELLENAR,C,1,2857,PIRFENIDONA 8G/100G 3.5GR GEL KITOSCELL,100000mg 3500mg 8000mg,,gel,Dermatológico,Cuidado de la piel y belleza,99.01,2,4,EQ-MAV392,Cetilver 1 Gel 8% C/10 G,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
246,RELLENAR,C,1,40,BENCIDAMINA CLORHIDRATO GEL 60 GR 1 PIEZA,60000mg,1,gel,Antiinflamatorios,Analgesia,99.0,2,4,EQ-HIS045,Cifhir 1 Gel 60g/5 %,Hispanoamericana,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
247,RELLENAR,C,1,2668,FLUOXETINA 20 MG 28 CAPSULAS,20mg,28,capsula,Enfermedades mentales,Medicamentos,99.0,2,4,FC-F7DB080D,Ovisen,Ovisen,1,70,principios activos completos; concentracion coincide; cantidad coincide; forma difiere tableta≠capsula
248,RELLENAR,C,1,2047,MELATONINA 3 MG 40 TABLETAS SUBLINGUALES,3mg,40,tableta,Medicamentos éticos,Medicamentos,99.0,2,4,EQ-SAN025,Revenox 60 Tab 3 Mg,Salud Natural,1,76,principios activos completos; concentracion coincide; cantidad difiere 60≠40; forma coincide
249,RELLENAR,C,1,778,TAMSULOSINA 0.40MG 20 CAPSULAS,0.4mg,20,capsula,Medicamentos éticos,Medicamentos,99.0,2,4,EQ-BEA403,Tamsulosina 20 Caps 0.4 Mg,Be Advance,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (82/68)
250,RELLENAR,C,1,3029,ALCANFOR / MENTOL / 197/197MG INHALADOR 1 PIEZA,197mg,1,,Antigripal,Aparato respiratorio,96.0,2,4,FC-40006647,Ultra Bengue Gel,Ultra Bengue,1,80,principios activos completos; nuestro catalogo sin concentracion
251,RELLENAR,C,1,2787,HIDROCORTISONA 1GR/100GR CREMA 60 GR 1 PIEZA,100000mg 1000mg 60000mg,1,crema,Dermatológico,Medicamentos,94.0,2,4,EQ-COL120,Collicort Hidrocortisona,Collins,1,100,principios activos completos; concentracion coincide; forma coincide
252,RELLENAR,C,1,3337,MELATONINA 3 MG 60 TABLETAS ORALES,3mg,60,tableta,Medicamentos éticos,Medicamentos,94.0,2,4,EQ-SAN025,Revenox 60 Tab 3 Mg,Salud Natural,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
253,RELLENAR,C,1,1929,CLOPIDOGREL 75 MG 28 TABLETAS,75mg,28,tableta,Medicamentos éticos,Medicamentos,89.0,2,4,EQ-AVT203,Cidorix 28 Tab 75 Mg,Avitus,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
254,RELLENAR,C,1,164,PENTOXIFILINA 400 MG 30 TABLETAS LIBERACION PROLONGADA,400mg,30,tableta,Flebotónico,Medicamentos,87.0,2,4,EQ-AMS370,Pentoxifilina 30 Tab 400 Mg,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (92/57)
255,RELLENAR,C,1,613,MUPIROCINA 2% UNGÜENTO 15 GR 1 PIEZA,15000mg,1,unguento,Dermatológico,Medicamentos,84.0,2,4,EQ-MAV266,Berniver 2% 1 Ung 15 G,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
256,RELLENAR,C,1,1577,BETAMETASONA 0.1% VALERATO CREMA 40 GR 1 PIEZA,40000mg,1,crema,Dermatológico,Medicamentos,79.0,2,4,EQ-SON256,Sonblefan S 1 Cma .100 G/ 40 G,SON'S,1,100,principios activos completos; concentracion coincide; forma coincide
257,RELLENAR,C,2,703,NIFEDIPINO 30 MG 30 COMPRIMIDOS LIBERACION PROLONGADA,30mg,30,tableta,Antihipertensivo,Medicamentos,78.0,2,4,EQ-BEA368,Nifedipino 30 Comp 30 Mg,Be Advance,0,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (86/55)
258,RELLENAR,C,1,2998,SUBSALICILATO DE BISMUTO SUSPENSION PEPTO BISMOL PLUS 118 ML 1 PIEZA,118ml,1,suspension,Antidiarreico,Funcionamiento gastrointestinal,76.0,2,4,FC-00753067,Pepto-Bismol suspensión 118 ml,Pepto-Bismol,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (100/53)
259,RELLENAR,C,1,2966,PREGABALINA 75MG 14 CAPSULAS,75mg,14,capsula,Medicamentos éticos,Medicamentos,74.0,2,4,FC-49025967,Pregabalina 75 mg C/14 AMSA,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
260,RELLENAR,C,1,631,SUBSALICILATO DE BISMUTO 24 TABLETAS MASTICABLES,,24,tableta,Antidiarreico,Funcionamiento gastrointestinal,71.0,2,4,FC-18752637,Itamol (Subsalicilato de bismuto) 262 mg,Mavi / Sanfer,1,99,principios activos completos; cantidad coincide; forma coincide
261,RELLENAR,C,1,3342,DESODORANTE EN AEROSOL PARA CABALLERO OLD SPICE 150 ML 1 PIEZA,150ml,1,spray,Higiene,"Higiene, curación y diagnóstico",69.01,2,3,FC-03842420,Adidas Power Booster spray 150 ml,Adidas,1,70,sin identidad comprobable; equivalente PA+concentración+forma
262,RELLENAR,C,1,658,NITAZOXANIDA 1200MG SUSPENSION 60 ML 1 PIEZA,1200mg 60ml,1,suspension,Antiparasitario,Medicamentos,69.0,2,4,EQ-QUM006,Mitafar 1 Susp 100mg/5/60 Ml,Quimpharma,1,76,principios activos completos; concentracion coincide; cantidad difiere 60≠1; forma coincide
263,RELLENAR,C,1,660,NITAZOXANIDA 500 MG 7 TABLETAS,500mg,7,tableta,Antiparasitario,Medicamentos,69.0,2,4,EQ-LOE135,Rosanil 7 Tab 500 Mg,Loeffler,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
264,RELLENAR,C,1,1798,ESPIRONOLACTONA 25 MG 30 TABLETAS,25mg,30,tableta,Antihipertensivo,Medicamentos,66.0,2,4,EQ-BEA379,Espironolactona,beadvance,1,82,principios activos completos; concentracion coincide; cantidad difiere 20≠30; forma coincide; nombre muy parecido (100/62)
265,RELLENAR,C,1,124,KETOCONAZOL SHAMPOO SUSPENSION 120 ML 1 PIEZA,120ml,1,suspension,Dermatológico,Cuidado de la piel y belleza,66.0,2,3,EQ-LIF039,Tiniazol Shampoo Ketoconazol,Liferpal,1,95,principios activos completos; concentracion coincide; nombre parecido (81/52)
266,RELLENAR,C,1,1411,LEVONORGESTREL  1.5 MG 1 TABLETA,1.5mg,1,tableta,Anticonceptivo,Medicamentos,65.0,2,4,EQ-IFA001,Postday 1 Comp 1.5 Mg,ifa,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
267,RELLENAR,C,1,1882,HIDROXIZINA 10 MG 30 TABLETAS,10mg,30,tableta,Medicamentos éticos,Medicamentos,64.0,2,4,FC-1321B34F,Hidroxin hidroxizina 10 mg C/30,Mavi,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
268,RELLENAR,C,1,249,ALUMINIO 200 MG / MAGNESIO 200 MG / DIMETICONA 20 MG 50 TABLETAS MASTICABLES,200mg 20mg,50,tableta,Gastritis,Funcionamiento gastrointestinal,63.0,2,4,FC-7048853,Melox Plus,Eurofarma,1,70,solo 1/3 principios activos; concentracion coincide; cantidad coincide; forma coincide; equivalente PA+concentración+forma
269,RELLENAR,C,1,3321,SIMI B12 CIANOCOBALAMINA (VITAMINA B12) 30 TABLETAS MASTICABLES,,30,tableta,Multivitamínicos,Suplementos y multivitamínicos,63.0,2,3,FC-90287992,Redbelgy (Cianocobalamina) 1000 mcg masticable,Biofarma Natural CMD,1,99,principios activos completos; cantidad coincide; forma coincide
270,RELLENAR,C,1,386,PREDNISONA 50 MG 20 TABLETAS,50mg,20,tableta,Antiinflamatorio,Medicamentos,60.0,2,4,FMX-502376,Norapred Tabletas 50 Mg C/20,NORAPRED,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
271,RELLENAR,C,1,47,BEZAFIBRATO 200 MG 30 TABLETAS,200mg,30,tableta,Hipolipemiante,Medicamentos,59.0,2,4,FC-6074BB64,Redalip,Redalip,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
